file_number,label,global_root,field_count,package_name,package_prefix
0.11,INDEX,"^DD(""IX"",",21,,
0.2,DESTINATION,"^DIC(.2,",1,,
0.31,KEY,"^DD(""KEY"",",5,,
0.4,PRINT TEMPLATE,^DIPT(,25,,
0.401,SORT TEMPLATE,^DIBT(,24,,
0.402,INPUT TEMPLATE,^DIE(,14,,
0.403,FORM,"^DIST(.403,",19,,
0.404,BLOCK,"^DIST(.404,",7,,
0.44,FOREIGN FORMAT,"^DIST(.44,",19,,
0.46,IMPORT TEMPLATE,"^DIST(.46,",9,,
0.5,FUNCTION,"^DD(""FUNC"",",6,,
0.6,DD AUDIT,^DDA(,12,,
0.7,MUMPS OPERATING SYSTEM,"^DD(""OS"",",27,,
0.81,DATA TYPE,"^DI(.81,",10,,
0.83,COMPILED ROUTINE,"^DI(.83,",2,,
0.84,DIALOG,"^DI(.84,",11,,
0.85,LANGUAGE,"^DI(.85,",20,,
0.86,DATA TYPE PROPERTY,"^DI(.86,",7,,
0.87,DATA TYPE METHOD,"^DI(.87,",4,,
0.9,META DATA DICTIONARY,^DDD(,10,,
1.0,FILE,^DIC(,25,,
1.1,AUDIT,^DIA(,19,,
1.11,ARCHIVAL ACTIVITY,"^DIAR(1.11,",24,,
1.12,FILEGRAM HISTORY,"^DIAR(1.12,",7,,
1.13,FILEGRAM ERROR LOG,"^DIAR(1.13,",4,,
1.2,ALTERNATE EDITOR,"^DIST(1.2,",5,,
1.5,ENTITY,^DDE(,33,,
1.521,SQLI_SCHEMA,"^DMSQ(""S"",",3,,
1.52101,SQLI_KEY_WORD,"^DMSQ(""K"",",1,,
1.5211,SQLI_DATA_TYPE,"^DMSQ(""DT"",",4,,
1.5212,SQLI_DOMAIN,"^DMSQ(""DM"",",12,,
1.5213,SQLI_KEY_FORMAT,"^DMSQ(""KF"",",5,,
1.5214,SQLI_OUTPUT_FORMAT,"^DMSQ(""OF"",",5,,
1.5215,SQLI_TABLE,"^DMSQ(""T"",",9,,
1.5216,SQLI_TABLE_ELEMENT,"^DMSQ(""E"",",5,,
1.5217,SQLI_COLUMN,"^DMSQ(""C"",",17,,
1.5218,SQLI_PRIMARY_KEY,"^DMSQ(""P"",",8,,
1.5219,SQLI_FOREIGN_KEY,"^DMSQ(""F"",",3,,
1.52191,SQLI_ERROR_TEXT,"^DMSQ(""ET"",",1,,
1.52192,SQLI_ERROR_LOG,"^DMSQ(""EX"",",5,,
1.6,POLICY,"^DIAC(1.6,",18,,
1.61,APPLICATION ACTION,"^DIAC(1.61,",8,,
1.62,POLICY FUNCTION,"^DIAC(1.62,",7,,
1.71,WORLD TIMEZONES,"^DIT(1.71,",2,,
1.72,WORLD DAYLIGHT SAVINGS,"^DIT(1.72,",4,,
2.0,PATIENT,^DPT(,594,PATIENT FILE,DPT
3.05,FAILED ACCESS ATTEMPTS LOG,"^%ZUA(3.05,",10,KERNEL,XU
3.07,PROGRAMMER MODE LOG,"^%ZUA(3.07,",6,KERNEL,XU
3.075,ERROR LOG,"^%ZTER(1,",3,KERNEL,XU
3.076,ERROR MESSAGES,"^%ZTER(2,",8,KERNEL,XU
3.077,ERROR TRAP SUMMARY,"^%ZTER(3.077,",14,,
3.081,SIGN-ON LOG,"^XUSEC(0,",27,KERNEL,XU
3.083,LOCKED IP or DEVICE,"^XUSEC(3,",2,,
3.084,FAILED SIGNON ATTEMPTS,"^XUSEC(4,",3,,
3.1,TITLE,"^DIC(3.1,",1,KERNEL,XU
3.2,TERMINAL TYPE,"^%ZIS(2,",156,KERNEL,XU
3.22,DA RETURN CODES,"^%ZIS(3.22,",3,KERNEL,XU
3.23,LINE/PORT ADDRESS,"^%ZIS(3.23,",4,,
3.4,COMMUNICATIONS PROTOCOL,"^DIC(3.4,",6,MAILMAN,XM
3.5,DEVICE,"^%ZIS(1,",74,KERNEL,XU
3.51,SPOOL DOCUMENT,"^XMB(3.51,",13,KERNEL,XU
3.519,SPOOL DATA,"^XMBS(3.519,",2,KERNEL,XU
3.52,PRINT QUEUE JOB,"^%ZIS(3.52,",21,,
3.54,RESOURCE,"^%ZISL(3.54,",3,KERNEL,XU
3.6,BULLETIN,"^XMB(3.6,",8,MAILMAN,XM
3.7,MAILBOX,"^XMB(3.7,",39,MAILMAN,XM
3.73,MESSAGES TO BE NEW AT A LATER DATE,"^XMB(3.73,",3,MAILMAN,XM
3.8,MAIL GROUP,"^XMB(3.8,",16,MAILMAN,XM
3.816,DISTRIBUTION LIST,"^XMB(3.816,",2,MAILMAN,XM
3.9,MESSAGE,"^XMB(3.9,",25,MAILMAN,XM
4.0,INSTITUTION,"^DIC(4,",42,KERNEL,XU
4.001,MASTER FILE PARAMETERS,"^DIC(4.001,",30,,
4.005,MD5 Signature,"^DIC(4.005,",9,,
4.009,STANDARD TERMINOLOGY VERSION FILE,"^DIC(4.009,",5,,
