package_name,prefix,version,file_count
,1.005,1,0
,,15,0
A1BF RESPONSE TIME,A1BF,Response Time Monitor for MSM,0
A1BH TRANSACTION,A1BH,A1BH TRANSACTION COLLECTION,0
ABS2,ABS2,PATCH ABSV*4*6 INITS,0
ACCOUNTS RECEIVABLE,PRCA,FMS,21
ADP MODULE,PRAP,Computerized ADP Plans (PLANMAN),0
ADP PLANNING (PLANMAN),PRAP,,0
ADVANCED MEDICATION PLATFORM,PREA,This application is a front end GUI for VA Pharmacists.,0
ADVERSE REACTION TRACKING,GMRA,Adverse Reaction Tracking package,5
ADXT,ADXT,FOR DIFROM OF ADXT FILES,0
AICS PACKAGE INTERFACES,IBDP,Needed for installation of AICS package interfaces.,0
AISC GEC 290,GECR,AISC GENERIC CODE SHEET 290,0
ALBANY UPDATE,UD,USED WITH 'UPDATE' ROUTINE TO TRANSFER TEMPLATES,0
AMIE 1.5 PATCH MINI INIT,DVBA,This is a mini int to patch AMIE templates.,0
AMIE ZIP+4 PATCH,DVBD,This Mini-Init will carry a change to a FileMan template.,0
AMIS/CAP,LRLS,,0
ANATOMIC PATH DESCRIPTIONS,LRAD,,0
AR NATIONAL DATABASE,RCNR,Accounts Receivable National Data Base,0
AR V3.7 PRE-INSTALL,PRYZ,AR V3.7 PRE CONVERSION,0
AR/WS PATCH NAMESPACE,PSW,AR/WS PATCH NAMESPACE,0
ASISTS,OOPS,Automated Safety Incident Surveillance Tracking System,0
AUTHORIZATION/SUBSCRIPTION,USR,User Authorization,0
AUTO REPLENISHMENT/WARD STOCK,PSGW,A method of drug distribution and inventory management.,1
AUTOMATED INFO COLLECTION SYS,IBD,The utilities for generating a paper encounter form.,14
AUTOMATED LAB INSTRUMENTS,LA,Lab Auto-Instrument Package,5
AUTOMATED MED INFO EXCHANGE,DVBA,The entire AMIE package 7131/2507.,10
Allergy Tracking System,GMAA,Used for Allergy Tracking System V3 Patch 15,0
BAR CODE MED ADMIN,PSB,BAR CODE MEDICATION ADMINISTRATION,0
BENCHMARKING,BM,,0
BENEFICIARY TRAVEL,DGBT,Beneficiary Travel,6
BLOOD BANK DESCRIPTIONS,LRBD,,0
CAPACITY MANAGEMENT,KMP,Capacity and resource measurements for software & hardware,0
CAPACITY MANAGEMENT - RUM,KMPR,,0
CAPACITY MANAGEMENT TOOLS,KMPD,Capacity Management Tools,0
CARE MANAGEMENT,ORRC,Care Mgt Modules,0
CAS PACKAGE,CAS,,0
CAW FILE,CAW,DG GECS TEMPLATES,0
CHARGE OUT/TRANS RETIRE LIST,RTYB,This includes the template RT CHARGE  ,0
CLASSMAN,KLAS,CLASSMAN containing Classroom and Slide Show software,0
CLINICAL CASE REGISTRIES,ROR,CLINICAL REGISTRIES,0
CLINICAL DECISION SUPPORT PLATFORM,CDSP,Clinical Decision Support Platform,0
CLINICAL INFO RESOURCE NETWORK,RG,CIRN,0
CLINICAL LEXICON UTILITY,GMPT,Medical and biomedical terminology system.,15
CLINICAL MONITORING SYSTEM,QAM,Allows users to build their own monitors.,9
CLINICAL PROCEDURES,MD,Clinical Procedures,0
CLINICAL REMINDERS,PXRM,Clinical Reminders,0
CMOP,PSX,CMOP,0
COMMUNITY RESOURCE MODULE,SWBH,,0
