datatype_code,datatype_name,count,percent
F,FREE TEXT,11962,17.25
S,SET OF CODES,9721,14.02
D,DATE/TIME,3646,5.26
RF,RF,2227,3.21
FX,FX,1563,2.25
P200',P200',1281,1.85
"NJ3,0","NJ3,0",1095,1.58
RS,RS,1079,1.56
"NJ4,0","NJ4,0",898,1.30
"NJ2,0","NJ2,0",896,1.29
W,WORD PROCESSING,866,1.25
FXO,FXO,861,1.24
"NJ6,0","NJ6,0",753,1.09
RFX,RFX,568,0.82
RD,RD,565,0.81
DX,DX,560,0.81
FO,FO,544,0.78
"NJ5,0","NJ5,0",510,0.74
MF,MF,468,0.68
"NJ7,0","NJ7,0",462,0.67
"NJ8,2","NJ8,2",351,0.51
"NJ9,0","NJ9,0",343,0.49
"NJ6,2","NJ6,2",307,0.44
"NJ1,0","NJ1,0",303,0.44
WL,WL,276,0.40
SX,SX,271,0.39
K,MUMPS,266,0.38
"NJ5,0O","NJ5,0O",257,0.37
"NJ10,2","NJ10,2",241,0.35
P,POINTER,234,0.34
RDX,RDX,230,0.33
"NJ9,2","NJ9,2",227,0.33
RP200',RP200',218,0.31
DI,DI,214,0.31
FJ255,FJ255,211,0.30
Wx,Wx,205,0.30
"NJ7,2","NJ7,2",198,0.29
P4',P4',195,0.28
CJ8,CJ8,180,0.26
FI,FI,177,0.26
"NJ4,0O","NJ4,0O",176,0.25
*P200',*P200',171,0.25
*S,*S,154,0.22
P5',P5',154,0.22
SO,SO,154,0.22
"NJ8,0","NJ8,0",153,0.22
SI,SI,147,0.21
"NJ10,0","NJ10,0",139,0.20
"NJ3,0O","NJ3,0O",136,0.20
P2',P2',133,0.19
MFX,MFX,133,0.19
St11,St11,131,0.19
FJ35,FJ35,128,0.18
FJ30,FJ30,127,0.18
"RNJ3,0","RNJ3,0",122,0.18
RSI,RSI,120,0.17
RFI,RFI,118,0.17
RP2',RP2',114,0.16
Fa,Fa,111,0.16
"NJ3,0X","NJ3,0X",104,0.15
RSX,RSX,102,0.15
P44',P44',102,0.15
"NJ5,2","NJ5,2",98,0.14
Sa,Sa,95,0.14
"RNJ2,0","RNJ2,0",91,0.13
MS,MS,90,0.13
"NJ9,3","NJ9,3",89,0.13
"NJ6,0O","NJ6,0O",87,0.13
"RNJ4,0","RNJ4,0",86,0.12
"NJ6,2X","NJ6,2X",85,0.12
MD,MD,84,0.12
"NJ2,0O","NJ2,0O",82,0.12
FJ20,FJ20,81,0.12
"NJ12,2","NJ12,2",81,0.12
CJ30,CJ30,78,0.11
DXO,DXO,78,0.11
"NJ5,1","NJ5,1",77,0.11
FOX,FOX,76,0.11
*P80'X,*P80'X,75,0.11
RFO,RFO,74,0.11
P200'I,P200'I,73,0.11
P3.5',P3.5',72,0.10
V,VARIABLE POINTER,71,0.10
P80',P80',70,0.10
RDI,RDI,67,0.10
RP4',RP4',67,0.10
"NJ6,0I","NJ6,0I",65,0.09
FJ50,FJ50,65,0.09
"NJ4,1","NJ4,1",64,0.09
"NJ15,0","NJ15,0",64,0.09
"NJ2,0X","NJ2,0X",63,0.09
"NJ11,2","NJ11,2",63,0.09
P3.8',P3.8',62,0.09
FJ80,FJ80,60,0.09
"NJ4,0X","NJ4,0X",60,0.09
P1927.41',P1927.41',58,0.08
"NJ11,0","NJ11,0",57,0.08
*P80.1'X,*P80.1'X,55,0.08
"NXJ5,1","NXJ5,1",54,0.08
"NJ4,2","NJ4,2",54,0.08
CJ1,CJ1,53,0.08
RFJ30,RFJ30,52,0.08
FJ10,FJ10,51,0.07
MDX,MDX,50,0.07
WLx,WLx,50,0.07
"CJ8,2","CJ8,2",50,0.07
"NJ13,2","NJ13,2",50,0.07
"MNJ3,0","MNJ3,0",48,0.07
P40.8',P40.8',47,0.07
FJ40,FJ40,47,0.07
RP2'X,RP2'X,47,0.07
"NJ12,0","NJ12,0",46,0.07
"RNJ9,0X","RNJ9,0X",46,0.07
"CJ8,0","CJ8,0",45,0.06
P365.013',P365.013',44,0.06
P100',P100',44,0.06
"NJ5,1O","NJ5,1O",44,0.06
"RNJ1,0","RNJ1,0",43,0.06
"NXJ3,0","NXJ3,0",43,0.06
FJ15,FJ15,42,0.06
"NJ7,3","NJ7,3",42,0.06
P604.5',P604.5',42,0.06
FXJ30,FXJ30,41,0.06
RFXI,RFXI,41,0.06
FJ3,FJ3,41,0.06
FJ18,FJ18,41,0.06
*P80'O,*P80'O,41,0.06
"NJ7,2O","NJ7,2O",40,0.06
MRF,MRF,39,0.06
"RNJ9,0","RNJ9,0",39,0.06
Da,Da,38,0.05
