file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
0.11,INDEX,"^DD(""IX"",",VA FILEMAN,DI,range_canonical,low,"canonical [0.0,1.9]"
0.2,DESTINATION,"^DIC(.2,",VA FILEMAN,DI,prefix,med,ns=DIC matched prefix=DI
0.31,KEY,"^DD(""KEY"",",VA FILEMAN,DI,range_canonical,low,"canonical [0.0,1.9]"
0.4,PRINT TEMPLATE,^DIPT(,VA FILEMAN,DI,prefix,med,ns=DIPT matched prefix=DI
0.401,SORT TEMPLATE,^DIBT(,VA FILEMAN,DI,prefix,med,ns=DIBT matched prefix=DI
0.402,INPUT TEMPLATE,^DIE(,VA FILEMAN,DI,prefix,med,ns=DIE matched prefix=DI
0.403,FORM,"^DIST(.403,",VA FILEMAN,DI,prefix,med,ns=DIST matched prefix=DI
0.404,BLOCK,"^DIST(.404,",VA FILEMAN,DI,prefix,med,ns=DIST matched prefix=DI
0.44,FOREIGN FORMAT,"^DIST(.44,",VA FILEMAN,DI,prefix,med,ns=DIST matched prefix=DI
0.46,IMPORT TEMPLATE,"^DIST(.46,",VA FILEMAN,DI,prefix,med,ns=DIST matched prefix=DI
0.5,FUNCTION,"^DD(""FUNC"",",VA FILEMAN,DI,range_canonical,low,"canonical [0.0,1.9]"
0.6,DD AUDIT,^DDA(,VA FILEMAN,DI,range_canonical,low,"canonical [0.0,1.9]"
0.7,MUMPS OPERATING SYSTEM,"^DD(""OS"",",VA FILEMAN,DI,range_canonical,low,"canonical [0.0,1.9]"
0.81,DATA TYPE,"^DI(.81,",VA FILEMAN,DI,prefix,high,ns=DI matched prefix=DI
0.83,COMPILED ROUTINE,"^DI(.83,",VA FILEMAN,DI,prefix,high,ns=DI matched prefix=DI
0.84,DIALOG,"^DI(.84,",VA FILEMAN,DI,prefix,high,ns=DI matched prefix=DI
0.85,LANGUAGE,"^DI(.85,",VA FILEMAN,DI,prefix,high,ns=DI matched prefix=DI
0.86,DATA TYPE PROPERTY,"^DI(.86,",VA FILEMAN,DI,prefix,high,ns=DI matched prefix=DI
0.87,DATA TYPE METHOD,"^DI(.87,",VA FILEMAN,DI,prefix,high,ns=DI matched prefix=DI
0.9,META DATA DICTIONARY,^DDD(,VA FILEMAN,DI,range_canonical,low,"canonical [0.0,1.9]"
1.0,FILE,^DIC(,VA FILEMAN,DI,prefix,med,ns=DIC matched prefix=DI
1.1,AUDIT,^DIA(,VA FILEMAN,DI,prefix,med,ns=DIA matched prefix=DI
