hub_file_number,hub_file_label,hub_package,hub_inbound_count,field_number,field_label,raw_type,modifiers,required,has_input_transform,has_description,score,reasons
200.0,NEW PERSON,SOCIAL WORK,561,0.01,NAME,RFX,X,True,False,False,0,
200.0,NEW PERSON,SOCIAL WORK,561,0.111,STREET ADDRESS 1,F,,False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,0.112,STREET ADDRESS 2,F,,False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,0.113,STREET ADDRESS 3,F,,False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,0.114,CITY,F,,False,False,False,0,
200.0,NEW PERSON,SOCIAL WORK,561,0.116,ZIP CODE,F,,False,False,False,2,label contains 'zip'
200.0,NEW PERSON,SOCIAL WORK,561,0.1211,TEMPORARY ADDRESS 1,F,,False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,0.1212,TEMPORARY ADDRESS 2,F,,False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,0.1213,TEMPORARY ADDRESS 3,F,,False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,0.1214,TEMPORARY CITY,F,,False,False,False,0,
200.0,NEW PERSON,SOCIAL WORK,561,0.1216,TEMPORARY ZIP CODE,F,,False,False,False,2,label contains 'zip'
200.0,NEW PERSON,SOCIAL WORK,561,0.131,PHONE (HOME),F,,False,False,False,2,label contains 'phone'
200.0,NEW PERSON,SOCIAL WORK,561,0.132,OFFICE PHONE,F,,False,False,False,2,label contains 'phone'
200.0,NEW PERSON,SOCIAL WORK,561,0.133,PHONE #3,F,,False,False,False,2,label contains 'phone'
200.0,NEW PERSON,SOCIAL WORK,561,0.134,PHONE #4,F,,False,False,False,2,label contains 'phone'
200.0,NEW PERSON,SOCIAL WORK,561,0.135,COMMERCIAL PHONE,F,,False,False,False,2,label contains 'phone'
200.0,NEW PERSON,SOCIAL WORK,561,0.136,FAX NUMBER,F,,False,False,False,2,label contains 'number'
200.0,NEW PERSON,SOCIAL WORK,561,0.137,VOICE PAGER,F,,False,False,False,0,
200.0,NEW PERSON,SOCIAL WORK,561,0.138,DIGITAL PAGER,F,,False,False,False,0,
200.0,NEW PERSON,SOCIAL WORK,561,0.141,ROOM,F,,False,False,False,0,
200.0,NEW PERSON,SOCIAL WORK,561,0.151,EMAIL ADDRESS,FXa,"X,a",False,False,False,2,label contains 'address'
200.0,NEW PERSON,SOCIAL WORK,561,1.0,INITIAL,F,,False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,2.0,ACCESS CODE,FXOa,"O,X,a",False,False,True,3,label contains 'code'; has description
200.0,NEW PERSON,SOCIAL WORK,561,2.1,Want to edit ACCESS CODE (Y/N),FX,X,False,False,True,3,label contains 'code'; has description
200.0,NEW PERSON,SOCIAL WORK,561,3.0,FILE MANAGER ACCESS CODE,FXa,"X,a",False,False,True,3,label contains 'code'; has description
200.0,NEW PERSON,SOCIAL WORK,561,9.0,SSN,FXa,"X,a",False,False,True,3,label contains 'ssn'; has description
200.0,NEW PERSON,SOCIAL WORK,561,9.4,Termination Reason,Fa,a,False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,10.6,DEGREE,FJ10X,"J,X",False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,11.0,VERIFY CODE,FXOa,"O,X,a",False,False,True,3,label contains 'code'; has description
200.0,NEW PERSON,SOCIAL WORK,561,11.1,Want to edit VERIFY CODE (Y/N),FX,X,False,False,True,3,label contains 'code'; has description
200.0,NEW PERSON,SOCIAL WORK,561,11.2,DATE VERIFY CODE LAST CHANGED,FOI,"I,O",False,False,True,3,label contains 'date'; has description
200.0,NEW PERSON,SOCIAL WORK,561,11.7,ARA VALUE,F,,False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,12.3,LAST TRAINING MONTH & YEAR,FXO,"O,X",False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,13.0,NICK NAME,F,,False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,14.0,PAC,FX,X,False,False,True,1,has description
200.0,NEW PERSON,SOCIAL WORK,561,14.9,HINQ EMPLOYEE NUMBER,FX,X,False,False,True,3,label contains 'number'; has description
