file_number,label,entry_count,tier,package,package_provenance,package_confidence,global_root
80.0,ICD DIAGNOSIS,91279,large,DRG GROUPER,direct,high,^ICD9(
80.1,ICD OPERATION/PROCEDURE,86813,large,DRG GROUPER,direct,high,^ICD0(
996.2,EXTENSIBLE EDITOR SPELLCHECKER,37324,large,EXTENSIBLE EDITOR,prefix,med,^RGED3(
64.0,WKLD CODE,25227,large,LAB SERVICE,direct,high,^LAM(
409.68,OUTPATIENT ENCOUNTER,14352,large,(unattributed),unattributed,,^SCE(
9000010.0,VISIT,14125,large,(unattributed),unattributed,,^AUPNVSIT(
112.0,FOOD NUTRIENTS,12398,large,DIETETICS,direct,high,^FHNU(
9000010.18,V CPT,7299,medium,(unattributed),unattributed,,^AUPNVCPT(
9000010.06,V PROVIDER,6283,medium,(unattributed),unattributed,,^AUPNVPRV(
52.0,PRESCRIPTION,6153,medium,PHARMACY,direct,high,^PSRX(
9999999.64,HEALTH FACTORS,5936,medium,(unattributed),unattributed,,^AUTTHF(
9999999.06,LOCATION,5033,medium,(unattributed),unattributed,,^AUTTLOC(
405.0,PATIENT MOVEMENT,4807,medium,REGISTRATION,direct,high,^DGPM(
50.0,DRUG,3929,medium,CONTROLLED SUBSTANCES,direct,high,^PSDRUG(
1.0,FILE,2916,medium,VA FILEMAN,prefix,med,^DIC(
3.1,TITLE,2916,medium,KERNEL,direct,high,"^DIC(3.1,"
3.4,COMMUNICATIONS PROTOCOL,2916,medium,MAILMAN,direct,high,"^DIC(3.4,"
4.0,INSTITUTION,2916,medium,KERNEL,direct,high,"^DIC(4,"
4.001,MASTER FILE PARAMETERS,2916,medium,VA FILEMAN,prefix,med,"^DIC(4.001,"
4.005,MD5 Signature,2916,medium,VA FILEMAN,prefix,med,"^DIC(4.005,"
4.009,STANDARD TERMINOLOGY VERSION FILE,2916,medium,VA FILEMAN,prefix,med,"^DIC(4.009,"
4.05,INSTITUTION ASSOCIATION TYPES,2916,medium,VA FILEMAN,prefix,med,"^DIC(4.05,"
4.1,FACILITY TYPE,2916,medium,KERNEL,direct,high,"^DIC(4.1,"
4.11,AGENCY,2916,medium,KERNEL,direct,high,"^DIC(4.11,"
4.2,DOMAIN,2916,medium,MAILMAN,direct,high,"^DIC(4.2,"
4.2996,INTERNET SUFFIX,2916,medium,MAILMAN,direct,high,"^DIC(4.2996,"
5.0,STATE,2916,medium,PATIENT FILE,direct,high,"^DIC(5,"
7.0,PROVIDER CLASS,2916,medium,VA FILEMAN,prefix,med,"^DIC(7,"
7.1,SPECIALITY,2916,medium,VA FILEMAN,prefix,med,"^DIC(7.1,"
8.0,ELIGIBILITY CODE,2916,medium,REGISTRATION,direct,high,"^DIC(8,"
8.1,MAS ELIGIBILITY CODE,2916,medium,REGISTRATION,direct,high,"^DIC(8.1,"
8.2,IDENTIFICATION FORMAT,2916,medium,REGISTRATION,direct,high,"^DIC(8.2,"
9.2,HELP FRAME,2916,medium,KERNEL,direct,high,"^DIC(9.2,"
9.4,PACKAGE,2916,medium,KERNEL,direct,high,"^DIC(9.4,"
9.8,ROUTINE,2916,medium,KERNEL,direct,high,"^DIC(9.8,"
10.0,RACE,2916,medium,REGISTRATION,direct,high,"^DIC(10,"
10.2,ETHNICITY,2916,medium,VA FILEMAN,prefix,med,"^DIC(10.2,"
10.3,RACE AND ETHNICITY COLLECTION METHOD,2916,medium,VA FILEMAN,prefix,med,"^DIC(10.3,"
11.0,MARITAL STATUS,2916,medium,REGISTRATION,direct,high,"^DIC(11,"
12.0,OCCUPATION,2916,medium,VA FILEMAN,prefix,med,"^DIC(12,"
13.0,RELIGION,2916,medium,REGISTRATION,direct,high,"^DIC(13,"
19.0,OPTION,2916,medium,MENU DRIVER,direct,high,"^DIC(19,"
19.1,SECURITY KEY,2916,medium,MENU DRIVER,direct,high,"^DIC(19.1,"
19.2,OPTION SCHEDULING,2916,medium,VA FILEMAN,prefix,med,"^DIC(19.2,"
19.8,MENUMAN QUICK HELP,2916,medium,VA FILEMAN,prefix,med,"^DIC(19.8,"
20.11,EDUCATION,2916,medium,VA FILEMAN,prefix,med,"^DIC(20.11,"
21.0,PERIOD OF SERVICE,2916,medium,REGISTRATION,direct,high,"^DIC(21,"
22.0,POW PERIOD,2916,medium,REGISTRATION,direct,high,"^DIC(22,"
23.0,BRANCH OF SERVICE,2916,medium,REGISTRATION,direct,high,"^DIC(23,"
24.0,NON-VETERAN CLASS,2916,medium,VA FILEMAN,prefix,med,"^DIC(24,"
25.0,TYPE OF DISCHARGE,2916,medium,REGISTRATION,direct,high,"^DIC(25,"
26.0,SEPARATION REASON,2916,medium,VA FILEMAN,prefix,med,"^DIC(26,"
