file_number,label,package,inbound_count
200.0,NEW PERSON,SOCIAL WORK,561
2.0,PATIENT,PATIENT FILE,314
4.0,INSTITUTION,KERNEL,209
44.0,HOSPITAL LOCATION,SCHEDULING,115
5.0,STATE,PATIENT FILE,81
40.8,MEDICAL CENTER DIVISION,REGISTRATION,53
3.5,DEVICE,KERNEL,49
3.8,MAIL GROUP,MAILMAN,43
9000010.0,VISIT,(unpackaged),41
1.0,FILE,(unpackaged),40
100.0,ORDER,ORDER ENTRY/RESULTS REPORTING,38
49.0,SERVICE/SECTION,INTERIM MANAGEMENT SUPPORT,37
80.0,ICD DIAGNOSIS,DRG GROUPER,35
81.0,CPT,REGISTRATION,35
9.4,PACKAGE,KERNEL,33
405.0,PATIENT MOVEMENT,REGISTRATION,32
50.0,DRUG,CONTROLLED SUBSTANCES,30
4.2,DOMAIN,MAILMAN,27
36.0,INSURANCE COMPANY,REGISTRATION,24
42.0,WARD LOCATION,REGISTRATION,24
727.0,,(unpackaged),22
3.9,MESSAGE,MAILMAN,20
45.7,FACILITY TREATING SPECIALTY,REGISTRATION,20
40.7,CLINIC STOP,SCHEDULING,20
59.0,OUTPATIENT SITE,PHARMACY,20
440.0,VENDOR,IFCAP,20
123.0,REQUEST/CONSULTATION,SUPPLY,20
8925.0,TIU DOCUMENT,(unpackaged),18
52.0,PRESCRIPTION,PHARMACY,18
445.0,GENERIC INVENTORY,GENERIC INVENTORY PACKAGE,17
