from_file,from_label,from_pkg,field_num,field_label,to_file,to_label,to_pkg
1.0,FILE,(unpackaged),20.0,DEVELOPER,200.0,NEW PERSON,SOCIAL WORK
1.1,AUDIT,(unpackaged),0.04,USER,200.0,NEW PERSON,SOCIAL WORK
1.1,AUDIT,(unpackaged),4.1,MENU OPTION USED,19.0,OPTION,MENU DRIVER
1.11,ARCHIVAL ACTIVITY,(unpackaged),1.0,FILE,1.0,FILE,(unpackaged)
1.11,ARCHIVAL ACTIVITY,(unpackaged),2.0,SEARCH TEMPLATE,0.401,,(unpackaged)
1.11,ARCHIVAL ACTIVITY,(unpackaged),3.0,PRINT TEMPLATE,0.4,,(unpackaged)
1.11,ARCHIVAL ACTIVITY,(unpackaged),5.0,ARCHIVER,200.0,NEW PERSON,SOCIAL WORK
1.11,ARCHIVAL ACTIVITY,(unpackaged),8.0,SELECTOR,200.0,NEW PERSON,SOCIAL WORK
1.11,ARCHIVAL ACTIVITY,(unpackaged),9.0,PURGER,200.0,NEW PERSON,SOCIAL WORK
1.11,ARCHIVAL ACTIVITY,(unpackaged),15.0,USER PERFORMING ACTION,200.0,NEW PERSON,SOCIAL WORK
1.11,ARCHIVAL ACTIVITY,(unpackaged),17.0,DESTINATION FILE,1.0,FILE,(unpackaged)
1.12,FILEGRAM HISTORY,(unpackaged),0.04,FILE,1.0,FILE,(unpackaged)
1.12,FILEGRAM HISTORY,(unpackaged),0.06,MESSAGE,3.9,MESSAGE,MAILMAN
1.12,FILEGRAM HISTORY,(unpackaged),0.07,FILEGRAM,0.4,,(unpackaged)
1.5,ENTITY,(unpackaged),19.1,GET POLICY,1.61,APPLICATION ACTION,(unpackaged)
1.5,ENTITY,(unpackaged),19.2,PUT POLICY,1.61,APPLICATION ACTION,(unpackaged)
1.5,ENTITY,(unpackaged),19.3,DELETE POLICY,1.61,APPLICATION ACTION,(unpackaged)
1.5,ENTITY,(unpackaged),19.4,POST POLICY,1.61,APPLICATION ACTION,(unpackaged)
1.5211,SQLI_DATA_TYPE,(unpackaged),3.0,D_OUTPUT_FORMAT,1.5214,SQLI_OUTPUT_FORMAT,(unpackaged)
1.5212,SQLI_DOMAIN,(unpackaged),1.0,DM_DATA_TYPE,1.5211,SQLI_DATA_TYPE,(unpackaged)
1.5212,SQLI_DOMAIN,(unpackaged),3.0,DM_TABLE,1.5215,SQLI_TABLE,(unpackaged)
1.5212,SQLI_DOMAIN,(unpackaged),6.0,DM_OUTPUT_FORMAT,1.5214,SQLI_OUTPUT_FORMAT,(unpackaged)
1.5213,SQLI_KEY_FORMAT,(unpackaged),1.0,KF_DATA_TYPE,1.5211,SQLI_DATA_TYPE,(unpackaged)
1.5214,SQLI_OUTPUT_FORMAT,(unpackaged),1.0,OF_DATA_TYPE,1.5211,SQLI_DATA_TYPE,(unpackaged)
1.5215,SQLI_TABLE,(unpackaged),1.0,T_SCHEMA,1.521,SQLI_SCHEMA,(unpackaged)
1.5215,SQLI_TABLE,(unpackaged),3.0,T_MASTER_TABLE,1.5215,SQLI_TABLE,(unpackaged)
1.5216,SQLI_TABLE_ELEMENT,(unpackaged),1.0,E_DOMAIN,1.5212,SQLI_DOMAIN,(unpackaged)
1.5216,SQLI_TABLE_ELEMENT,(unpackaged),2.0,E_TABLE,1.5215,SQLI_TABLE,(unpackaged)
1.5217,SQLI_COLUMN,(unpackaged),0.01,C_TABLE_ELEMENT,1.5216,SQLI_TABLE_ELEMENT,(unpackaged)
1.5217,SQLI_COLUMN,(unpackaged),8.0,C_PARENT,1.5217,SQLI_COLUMN,(unpackaged)
1.5217,SQLI_COLUMN,(unpackaged),16.0,C_OUTPUT_FORMAT,1.5214,SQLI_OUTPUT_FORMAT,(unpackaged)
1.5218,SQLI_PRIMARY_KEY,(unpackaged),0.01,P_TBL_ELEMENT,1.5216,SQLI_TABLE_ELEMENT,(unpackaged)
1.5218,SQLI_PRIMARY_KEY,(unpackaged),1.0,P_COLUMN,1.5217,SQLI_COLUMN,(unpackaged)
1.5218,SQLI_PRIMARY_KEY,(unpackaged),7.0,P_KEY_FORMAT,1.5213,SQLI_KEY_FORMAT,(unpackaged)
1.5219,SQLI_FOREIGN_KEY,(unpackaged),0.01,F_TBL_ELEMENT,1.5216,SQLI_TABLE_ELEMENT,(unpackaged)
1.5219,SQLI_FOREIGN_KEY,(unpackaged),1.0,F_PK_ELEMENT,1.5218,SQLI_PRIMARY_KEY,(unpackaged)
1.5219,SQLI_FOREIGN_KEY,(unpackaged),2.0,F_CLM_ELEMENT,1.5217,SQLI_COLUMN,(unpackaged)
1.52192,SQLI_ERROR_LOG,(unpackaged),2.0,ERROR,1.52191,SQLI_ERROR_TEXT,(unpackaged)
1.52192,SQLI_ERROR_LOG,(unpackaged),4.0,FILEMAN_ERROR,0.84,,(unpackaged)
1.6,POLICY,(unpackaged),0.04,ATTRIBUTE FUNCTION,1.62,POLICY FUNCTION,(unpackaged)
1.6,POLICY,(unpackaged),0.07,RESULT FUNCTION,1.62,POLICY FUNCTION,(unpackaged)
1.6,POLICY,(unpackaged),7.0,DENY FUNCTION,1.62,POLICY FUNCTION,(unpackaged)
1.6,POLICY,(unpackaged),8.0,PERMIT FUNCTION,1.62,POLICY FUNCTION,(unpackaged)
1.61,APPLICATION ACTION,(unpackaged),0.05,POLICY,1.6,POLICY,(unpackaged)
1.72,WORLD DAYLIGHT SAVINGS,(unpackaged),0.01,COUNTRY,779.004,COUNTRY CODE,HEALTH LEVEL SEVEN
1.72,WORLD DAYLIGHT SAVINGS,(unpackaged),0.03,TIME SAME AS,779.004,COUNTRY CODE,HEALTH LEVEL SEVEN
2.0,PATIENT,PATIENT FILE,0.05,MARITAL STATUS,11.0,MARITAL STATUS,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.06,RACE,10.0,RACE,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.08,RELIGIOUS PREFERENCE,13.0,RELIGION,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.082,PATIENT MERGED TO,2.0,PATIENT,PATIENT FILE
2.0,PATIENT,PATIENT FILE,0.093,PLACE OF BIRTH [STATE],5.0,STATE,PATIENT FILE
2.0,PATIENT,PATIENT FILE,0.0931,PLACE OF BIRTH COUNTRY,779.004,COUNTRY CODE,HEALTH LEVEL SEVEN
2.0,PATIENT,PATIENT FILE,0.096,WHO ENTERED PATIENT,200.0,NEW PERSON,SOCIAL WORK
2.0,PATIENT,PATIENT FILE,0.102,CURRENT MOVEMENT,405.0,PATIENT MOVEMENT,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.103,TREATING SPECIALTY,45.7,FACILITY TREATING SPECIALTY,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.104,PROVIDER,200.0,NEW PERSON,SOCIAL WORK
2.0,PATIENT,PATIENT FILE,0.1041,ATTENDING PHYSICIAN,200.0,NEW PERSON,SOCIAL WORK
2.0,PATIENT,PATIENT FILE,0.105,CURRENT ADMISSION,405.0,PATIENT MOVEMENT,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.108,CURRENT ROOM,405.4,ROOM-BED,REGISTRATION
2.0,PATIENT,PATIENT FILE,0.115,STATE,5.0,STATE,PATIENT FILE
2.0,PATIENT,PATIENT FILE,0.1155,RESIDENTIAL STATE,5.0,STATE,PATIENT FILE
2.0,PATIENT,PATIENT FILE,0.11573,RESIDENTIAL COUNTRY,779.004,COUNTRY CODE,HEALTH LEVEL SEVEN
2.0,PATIENT,PATIENT FILE,0.11581,RESIDENTIAL ADDR CHANGE SITE,4.0,INSTITUTION,KERNEL
2.0,PATIENT,PATIENT FILE,0.11583,RESIDENTIAL ADDR CHANGE USER,200.0,NEW PERSON,SOCIAL WORK
2.0,PATIENT,PATIENT FILE,0.1173,COUNTRY,779.004,COUNTRY CODE,HEALTH LEVEL SEVEN
2.0,PATIENT,PATIENT FILE,0.12,ADDRESS CHANGE SITE,4.0,INSTITUTION,KERNEL
2.0,PATIENT,PATIENT FILE,0.12114,TEMPORARY ADDRESS CHANGE SITE,4.0,INSTITUTION,KERNEL
2.0,PATIENT,PATIENT FILE,0.12116,TEMPORARY COUNTRY CODE,12.12,TELEPHONE COUNTRY CODE,(unpackaged)
2.0,PATIENT,PATIENT FILE,0.1215,TEMPORARY STATE,5.0,STATE,PATIENT FILE
2.0,PATIENT,PATIENT FILE,0.122,ADDRESS CHANGE USER,200.0,NEW PERSON,SOCIAL WORK
