label,occurrences,file_count,types
NAME,1055,1055,F:921|P:93|:20|X:3|C:1|N:7|V:7|S:3
DESCRIPTION,374,374,M:148|F:216|A:4|D:5|P:1
CODE,311,311,F:249|N:51|P:5|A:4|S:1|M:1
STATUS,246,246,S:180|F:17|D:3|P:40|C:4|N:2
NUMBER,214,214,N:204|F:9|P:1
PATIENT,214,214,C:3|P:204|F:6|V:1
TYPE,177,177,S:131|P:19|F:25|A:2
ABBREVIATION,111,111,F:110|M:1
PLACEHOLDER,99,16,F:92|P:4|N:2|S:1
DIVISION,90,90,C:1|P:80|A:1|F:8
SYNONYM,90,90,F:33|M:44|A:12|N:1
USER,83,83,P:80|F:3
COMMENTS,77,76,M:41|F:33|D:2|A:1
DATE,71,70,D:69|C:1|F:1
STATE,71,71,P:51|C:4|F:16
INACTIVE,69,69,S:64|D:4|C:1
PATIENT NAME,68,68,P:52|F:14|V:2
ACTIVE,60,60,S:59|C:1
LOCATION,57,57,C:2|F:22|V:1|P:32
CITY,55,55,F:53|C:2
PROVIDER,50,50,P:37|F:11|S:1|D:1
SSN,48,48,C:7|F:40|N:1
SERVICE,47,47,S:7|P:33|C:1|F:6
ENTERED BY,47,47,P:43|S:2|F:2
EFFECTIVE DATE,47,47,D:46|S:1
COMMENT,46,46,M:18|F:27|D:1
ID,45,45,N:8|F:36|P:1
VERSION,43,43,C:3|F:18|9:1|N:9|M:1|P:10|S:1
SEX,43,42,S:35|D:2|C:4|F:1|M:1
ZIP CODE,43,42,F:38|C:2|P:1|N:1|A:1
FACILITY,43,43,P:22|N:1|C:1|F:19
INSTITUTION,42,42,P:37|F:3|M:1|V:1
DATE/TIME,41,41,D:37|M:3|F:1
SEQUENCE NUMBER,39,39,N:32|F:6|S:1
TEXT,38,38,M:20|A:3|F:14|S:1
INACTIVE DATE,36,36,D:35|F:1
CLASS,36,36,S:29|P:5|F:2
STATION NUMBER,35,35,F:26|C:1|P:5|N:3
PRIORITY,34,34,S:17|N:15|F:2
CATEGORY,34,34,S:10|P:13|F:10|N:1
PACKAGE,34,34,P:24|S:3|F:7
DATE OF BIRTH,33,33,D:13|DC:4|F:15|C:1
REMARKS,33,33,F:17|M:14|S:1|A:1
MESSAGE,32,32,P:4|A:3|M:8|F:12|D:2|N:2|C:1
STATION,32,32,F:5|P:27
WARD,32,32,P:24|F:5|C:3
SOURCE,32,32,F:15|P:4|S:11|M:1|D:1
CLINIC,32,32,P:29|C:1|S:1|F:1
TREATING SPECIALTY,31,31,P:16|F:14|S:1
PROCEDURE,31,31,F:8|P:20|C:1|V:2
SITE,30,30,P:19|N:3|F:6|S:2
VENDOR,30,30,F:6|P:23|V:1
IDENTIFIER,29,29,A:1|F:22|N:2|S:3|6:1
SHORT DESCRIPTION,28,28,F:27|M:1
DATE ENTERED,28,28,N:1|D:27
PRINT NAME,28,28,F:27|X:1
QUANTITY,28,28,N:27|F:1
ROUTINE,27,27,C:1|F:23|M:3
DATE/TIME ENTERED,27,27,D:26|P:1
TIMESTAMP,26,26,F:12|D:14
