field,label,type_code,type_name,hits,pct
0.01,NAME,F,FREE TEXT,499,99.8
0.02,SEX,S,SET OF CODES,446,89.2
0.024,SELF IDENTIFIED GENDER,S,SET OF CODES,0,0.0
0.025,SEXUAL ORIENTATION,P,POINTER,0,0.0
0.0251,SEXUAL ORIENTATION FREE TEXT,F,FREE TEXT,0,0.0
0.03,DATE OF BIRTH,D,DATE/TIME,499,99.8
0.033,AGE,C,COMPUTED,0,0.0
0.05,MARITAL STATUS,P,POINTER,262,52.4
0.06,RACE,P,POINTER,124,24.8
0.07,OCCUPATION,F,FREE TEXT,165,33.0
0.08,RELIGIOUS PREFERENCE,P,POINTER,236,47.2
0.081,DUPLICATE STATUS,S,SET OF CODES,0,0.0
0.082,PATIENT MERGED TO,P,POINTER,0,0.0
0.083,CHECK FOR DUPLICATE,S,SET OF CODES,0,0.0
0.09,SOCIAL SECURITY NUMBER,F,FREE TEXT,499,99.8
0.0901,TERMINAL DIGIT OF SSN,C,COMPUTED,0,0.0
0.0905,1U4N,C,COMPUTED,0,0.0
0.0906,PSEUDO SSN REASON,S,SET OF CODES,0,0.0
0.0907,SSN VERIFICATION STATUS,S,SET OF CODES,0,0.0
0.091,REMARKS,F,FREE TEXT,0,0.0
0.092,PLACE OF BIRTH [CITY],F,FREE TEXT,0,0.0
0.093,PLACE OF BIRTH [STATE],P,POINTER,0,0.0
0.0931,PLACE OF BIRTH COUNTRY,P,POINTER,0,0.0
0.0932,PLACE OF BIRTH PROVINCE,F,FREE TEXT,0,0.0
0.096,WHO ENTERED PATIENT,P,POINTER,0,0.0
0.097,DATE ENTERED INTO FILE,D,DATE/TIME,0,0.0
0.098,HOW WAS PATIENT ENTERED?,S,SET OF CODES,0,0.0
0.1,WARD LOCATION,F,FREE TEXT,32,6.4
0.101,ROOM-BED,F,FREE TEXT,0,0.0
0.102,CURRENT MOVEMENT,P,POINTER,0,0.0
0.103,TREATING SPECIALTY,P,POINTER,0,0.0
0.104,PROVIDER,P,POINTER,0,0.0
0.1041,ATTENDING PHYSICIAN,P,POINTER,0,0.0
0.105,CURRENT ADMISSION,P,POINTER,0,0.0
