rule,priority,label,file,file_label,field,field_label,package,occurrences,types,source_files,target_file,recommended_type
label_type_conflict,1055,NAME,,,,,,1055,F:921|P:93|:20|X:3|C:1|N:7|V:7|S:3,,,F
hub_file_reference,561,NEW PERSON,200.0,,,,,,,561,,
label_type_conflict,374,DESCRIPTION,,,,,,374,M:148|F:216|A:4|D:5|P:1,,,F
hub_file_reference,314,PATIENT,2.0,,,,,,,314,,
label_type_conflict,311,CODE,,,,,,311,F:249|N:51|P:5|A:4|S:1|M:1,,,F
label_type_conflict,246,STATUS,,,,,,246,S:180|F:17|D:3|P:40|C:4|N:2,,,S
label_type_conflict,214,NUMBER,,,,,,214,N:204|F:9|P:1,,,N
label_type_conflict,214,PATIENT,,,,,,214,C:3|P:204|F:6|V:1,,,P
hub_file_reference,209,INSTITUTION,4.0,,,,,,,209,,
label_type_conflict,177,TYPE,,,,,,177,S:131|P:19|F:25|A:2,,,S
hub_file_reference,115,HOSPITAL LOCATION,44.0,,,,,,,115,,
label_type_conflict,111,ABBREVIATION,,,,,,111,F:110|M:1,,,F
label_type_conflict,99,PLACEHOLDER,,,,,,99,F:92|P:4|N:2|S:1,,,F
label_type_conflict,90,DIVISION,,,,,,90,C:1|P:80|A:1|F:8,,,P
label_type_conflict,90,SYNONYM,,,,,,90,F:33|M:44|A:12|N:1,,,M
label_type_conflict,83,USER,,,,,,83,P:80|F:3,,,P
hub_file_reference,81,STATE,5.0,,,,,,,81,,
label_type_conflict,77,COMMENTS,,,,,,77,M:41|F:33|D:2|A:1,,,M
label_type_conflict,71,DATE,,,,,,71,D:69|C:1|F:1,,,D
label_type_conflict,71,STATE,,,,,,71,P:51|C:4|F:16,,,P
label_type_conflict,69,INACTIVE,,,,,,69,S:64|D:4|C:1,,,S
label_type_conflict,68,PATIENT NAME,,,,,,68,P:52|F:14|V:2,,,P
label_type_conflict,60,ACTIVE,,,,,,60,S:59|C:1,,,S
label_type_conflict,57,LOCATION,,,,,,57,C:2|F:22|V:1|P:32,,,P
label_type_conflict,55,CITY,,,,,,55,F:53|C:2,,,F
hub_file_reference,53,MEDICAL CENTER DIVISION,40.8,,,,,,,53,,
label_type_conflict,50,PROVIDER,,,,,,50,P:37|F:11|S:1|D:1,,,P
hub_file_reference,49,DEVICE,3.5,,,,,,,49,,
label_type_conflict,48,SSN,,,,,,48,C:7|F:40|N:1,,,F
label_type_conflict,47,SERVICE,,,,,,47,S:7|P:33|C:1|F:6,,,P
label_type_conflict,47,ENTERED BY,,,,,,47,P:43|S:2|F:2,,,P
label_type_conflict,47,EFFECTIVE DATE,,,,,,47,D:46|S:1,,,D
label_type_conflict,46,COMMENT,,,,,,46,M:18|F:27|D:1,,,F
label_type_conflict,45,ID,,,,,,45,N:8|F:36|P:1,,,F
label_type_conflict,43,VERSION,,,,,,43,C:3|F:18|9:1|N:9|M:1|P:10|S:1,,,F
label_type_conflict,43,SEX,,,,,,43,S:35|D:2|C:4|F:1|M:1,,,S
label_type_conflict,43,ZIP CODE,,,,,,43,F:38|C:2|P:1|N:1|A:1,,,F
label_type_conflict,43,FACILITY,,,,,,43,P:22|N:1|C:1|F:19,,,P
hub_file_reference,43,MAIL GROUP,3.8,,,,,,,43,,
label_type_conflict,42,INSTITUTION,,,,,,42,P:37|F:3|M:1|V:1,,,P
label_type_conflict,41,DATE/TIME,,,,,,41,D:37|M:3|F:1,,,D
hub_file_reference,41,VISIT,9000010.0,,,,,,,41,,
hub_file_reference,40,FILE,1.0,,,,,,,40,,
label_type_conflict,39,SEQUENCE NUMBER,,,,,,39,N:32|F:6|S:1,,,N
label_type_conflict,38,TEXT,,,,,,38,M:20|A:3|F:14|S:1,,,M
hub_file_reference,38,ORDER,100.0,,,,,,,38,,
hub_file_reference,37,SERVICE/SECTION,49.0,,,,,,,37,,
label_type_conflict,36,INACTIVE DATE,,,,,,36,D:35|F:1,,,D
label_type_conflict,36,CLASS,,,,,,36,S:29|P:5|F:2,,,S
label_type_conflict,35,STATION NUMBER,,,,,,35,F:26|C:1|P:5|N:3,,,F
hub_file_reference,35,ICD DIAGNOSIS,80.0,,,,,,,35,,
hub_file_reference,35,CPT,81.0,,,,,,,35,,
label_type_conflict,34,PRIORITY,,,,,,34,S:17|N:15|F:2,,,S
label_type_conflict,34,CATEGORY,,,,,,34,S:10|P:13|F:10|N:1,,,P
label_type_conflict,34,PACKAGE,,,,,,34,P:24|S:3|F:7,,,P
label_type_conflict,33,DATE OF BIRTH,,,,,,33,D:13|DC:4|F:15|C:1,,,F
label_type_conflict,33,REMARKS,,,,,,33,F:17|M:14|S:1|A:1,,,F
hub_file_reference,33,PACKAGE,9.4,,,,,,,33,,
label_type_conflict,32,MESSAGE,,,,,,32,P:4|A:3|M:8|F:12|D:2|N:2|C:1,,,F
label_type_conflict,32,STATION,,,,,,32,F:5|P:27,,,P
label_type_conflict,32,WARD,,,,,,32,P:24|F:5|C:3,,,P
label_type_conflict,32,SOURCE,,,,,,32,F:15|P:4|S:11|M:1|D:1,,,F
label_type_conflict,32,CLINIC,,,,,,32,P:29|C:1|S:1|F:1,,,P
hub_file_reference,32,PATIENT MOVEMENT,405.0,,,,,,,32,,
label_type_conflict,31,TREATING SPECIALTY,,,,,,31,P:16|F:14|S:1,,,P
label_type_conflict,31,PROCEDURE,,,,,,31,F:8|P:20|C:1|V:2,,,P
label_type_conflict,30,SITE,,,,,,30,P:19|N:3|F:6|S:2,,,P
label_type_conflict,30,VENDOR,,,,,,30,F:6|P:23|V:1,,,P
hub_file_reference,30,DRUG,50.0,,,,,,,30,,
label_type_conflict,29,IDENTIFIER,,,,,,29,A:1|F:22|N:2|S:3|6:1,,,F
